Price_€_Million,Player,Club_who_bought_them,Club_who_sold_them,Year,Goals_and_assists_first_season,Goals_first_season,Assists_first_season,Goals_and_assists_second_season,Goals_second_season,Assists_second_season,Goals_and_assists_both_seasons
222,Neymar,PSG,Barcelona,2017,44,28,16,36,23,13,80
180,Kylian_Mbappe,PSG,Monaco,2017,37,21,16,56,39,17,93
135,Phillipe_Coutinho,Barcelona,Liverpool,2018,16,9,7,16,11,5,32
135,Dembele,Barcelona,BVB,2017,12,4,8,22,14,8,34
127.2,Joao_Felix,Atletico_Madrid,Benefica,2019,12,9,3,16,10,6,28
120,Antoine_Griezmann,Barcelona,Atletico_Madrid,2019,19,15,4,33,20,13,52
117,Jack_Graelish,Man_city,Aston_Villa,2021,10,6,4,16,5,11,26
117,C._Ronaldo,Juventus,Real_Madrid,2018,39,28,11,44,37,7,83
115,Eden_Hazard,Real_Madrid,Chelsea,2019,8,1,7,5,4,1,13
105,Pogba,Man_United,Juventus,2016,15,9,6,18,6,12,33
